id,enrollee_id,gender,relevent_experience,education_level,major_discipline,experience,Training_Hours,Years_of_Experience,Relevant_Experience_Score
17538,25521,Male,Has relevent experience,Graduate,Other,10.0,<20,11-20,16.0
9450,25513,Male,No relevent experience,Graduate,Other,11.0,>80,11-20,84.0
13715,33321,Female,Has relevent experience,Graduate,Other,11.0,>80,11-20,36.0
6440,28104,Male,Has relevent experience,Graduate,Other,11.0,>80,11-20,36.0
7677,17575,Male,No relevent experience,Graduate,Other,11.0,41-60,11-20,44.0
16142,5997,Male,Has relevent experience,Graduate,Other,11.0,20-40,11-20,21.0
17359,27103,Male,Has relevent experience,Graduate,Other,12.0,41-60,11-20,26.0
4830,32886,Male,Has relevent experience,Graduate,Other,12.0,41-60,11-20,26.0
10029,28786,Male,Has relevent experience,Graduate,Other,12.0,41-60,11-20,26.0
5923,15759,Female,Has relevent experience,Graduate,Other,12.0,<20,11-20,16.0
11916,15785,Female,Has relevent experience,Graduate,Other,14.0,>80,11-20,36.0
18536,33237,Male,Has relevent experience,Graduate,Other,14.0,61-80,11-20,31.0
2514,27183,Male,Has relevent experience,Graduate,Other,15.0,>80,11-20,36.0
3363,9620,Male,Has relevent experience,Graduate,Other,15.0,>80,11-20,36.0
18265,30346,Male,Has relevent experience,Graduate,Other,15.0,61-80,11-20,31.0
15655,1584,Female,Has relevent experience,Masters,Other,15.0,61-80,11-20,31.0
2515,32503,Male,Has relevent experience,Masters,Other,15.0,20-40,11-20,21.0
1779,5454,Male,Has relevent experience,Graduate,Other,15.0,20-40,11-20,21.0
6059,32842,Male,Has relevent experience,Graduate,Other,16.0,>80,11-20,36.0
15618,15776,Male,No relevent experience,Masters,Other,16.0,61-80,11-20,64.0
14468,21854,Male,Has relevent experience,Masters,Other,16.0,<20,11-20,16.0
2244,9403,Male,Has relevent experience,Graduate,Other,16.0,<20,11-20,16.0
2254,27889,Male,Has relevent experience,Graduate,Other,16.0,<20,11-20,16.0
6485,27020,Male,Has relevent experience,Masters,Other,17.0,41-60,11-20,26.0
7674,4824,Female,Has relevent experience,Graduate,Other,17.0,41-60,11-20,26.0
5721,4423,Male,Has relevent experience,Graduate,Other,18.0,>80,11-20,36.0
7548,27357,Male,Has relevent experience,Graduate,Other,18.0,61-80,11-20,31.0
18470,5044,Male,No relevent experience,Graduate,Other,18.0,20-40,11-20,24.0
18842,14138,Male,Has relevent experience,Graduate,Other,19.0,>80,11-20,36.0
2337,29733,Male,Has relevent experience,Graduate,Other,19.0,<20,11-20,16.0
6097,10674,Male,Has relevent experience,Graduate,Other,20.0,20-40,>20,25.0
4057,2162,Male,Has relevent experience,Graduate,Other,20.0,<20,>20,20.0
1360,5549,Male,Has relevent experience,Graduate,Other,21.0,>80,>20,40.0
843,22816,Male,No relevent experience,Masters,Other,21.0,>80,>20,85.0
416,10529,Male,Has relevent experience,Graduate,Other,21.0,>80,>20,40.0
6053,20022,Female,Has relevent experience,Graduate,Other,21.0,>80,>20,40.0
6294,30234,Male,No relevent experience,Graduate,Other,21.0,>80,>20,85.0
2320,4379,Male,Has relevent experience,Graduate,Other,21.0,>80,>20,40.0
2136,14417,Male,Has relevent experience,Graduate,Other,21.0,61-80,>20,35.0
16512,3567,Male,No relevent experience,Graduate,Other,21.0,61-80,>20,65.0
6018,32148,Male,Has relevent experience,Masters,Other,21.0,41-60,>20,30.0
4281,9721,Male,Has relevent experience,Masters,Other,21.0,41-60,>20,30.0
8700,414,Male,Has relevent experience,Graduate,Other,21.0,41-60,>20,30.0
18000,4017,Male,Has relevent experience,Graduate,Other,21.0,41-60,>20,30.0
19073,30251,Male,Has relevent experience,Graduate,Other,21.0,41-60,>20,30.0
1788,16494,Male,Has relevent experience,Graduate,Other,21.0,41-60,>20,30.0
16728,4207,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
3223,49,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
10089,23126,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
8300,7336,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
10351,411,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
7641,442,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
7811,19201,Male,Has relevent experience,Graduate,Other,21.0,20-40,>20,25.0
18993,31421,Male,No relevent experience,Graduate,Other,21.0,<20,>20,5.0
167,30496,Male,Has relevent experience,Graduate,Other,21.0,<20,>20,20.0
4647,21171,Male,Has relevent experience,Masters,Other,21.0,<20,>20,20.0
16844,33211,Male,Has relevent experience,Masters,Other,21.0,<20,>20,20.0
15477,29168,Male,Has relevent experience,Masters,Other,21.0,<20,>20,20.0
9614,26323,Other,No relevent experience,Graduate,Business Degree,0.5,>80,<1,
14606,26445,Male,No relevent experience,Graduate,Business Degree,0.5,61-80,<1,
13547,31526,Female,No relevent experience,Graduate,Business Degree,0.5,<20,<1,
4507,15567,Male,No relevent experience,Graduate,Business Degree,0.5,<20,<1,
6191,28771,Male,Has relevent experience,Masters,Business Degree,1.0,>80,1-5,
12639,16453,Male,No relevent experience,Masters,Business Degree,1.0,>80,1-5,
14282,16656,Male,No relevent experience,Graduate,Business Degree,1.0,>80,1-5,
2704,638,Male,Has relevent experience,Graduate,Business Degree,1.0,41-60,1-5,
2720,3909,Male,Has relevent experience,Graduate,Business Degree,1.0,41-60,1-5,
4268,32879,Male,No relevent experience,Graduate,Business Degree,1.0,41-60,1-5,
737,18907,Male,Has relevent experience,Graduate,Business Degree,1.0,20-40,1-5,
6050,72,Male,Has relevent experience,Graduate,Business Degree,1.0,<20,1-5,
5430,8572,Female,Has relevent experience,Graduate,Business Degree,2.0,>80,1-5,
4645,9477,Male,Has relevent experience,Graduate,Business Degree,2.0,>80,1-5,
9294,4342,Male,No relevent experience,Graduate,Business Degree,2.0,>80,1-5,
16516,14328,Male,Has relevent experience,Graduate,Business Degree,2.0,>80,1-5,
17113,8770,Male,Has relevent experience,Masters,Business Degree,2.0,>80,1-5,
8416,15002,Female,Has relevent experience,Masters,Business Degree,2.0,61-80,1-5,
7117,7374,Male,Has relevent experience,Graduate,Business Degree,2.0,61-80,1-5,
13575,31065,Male,Has relevent experience,Graduate,Business Degree,2.0,61-80,1-5,
19079,24852,Male,Has relevent experience,Graduate,Business Degree,2.0,41-60,1-5,
7022,3687,Male,No relevent experience,Graduate,Business Degree,2.0,41-60,1-5,
3332,26136,Male,Has relevent experience,Graduate,Business Degree,2.0,41-60,1-5,
14751,17002,Male,No relevent experience,Graduate,Business Degree,2.0,20-40,1-5,
17600,7633,Male,No relevent experience,Masters,Business Degree,2.0,20-40,1-5,
16915,24730,Male,Has relevent experience,Masters,Business Degree,2.0,20-40,1-5,
7316,3424,Male,Has relevent experience,Graduate,Business Degree,2.0,<20,1-5,
9106,10125,Female,Has relevent experience,Graduate,Business Degree,2.0,<20,1-5,
17837,8784,Female,No relevent experience,Graduate,Business Degree,3.0,>80,1-5,
6585,13990,Male,Has relevent experience,Graduate,Business Degree,3.0,>80,1-5,
9199,24257,Male,Has relevent experience,Graduate,Business Degree,3.0,61-80,1-5,
5474,6658,Male,No relevent experience,Graduate,Business Degree,3.0,41-60,1-5,
17797,3575,Male,No relevent experience,Graduate,Business Degree,3.0,41-60,1-5,
5128,20256,Male,No relevent experience,Masters,Business Degree,3.0,20-40,1-5,
6162,28516,Male,Has relevent experience,Graduate,Business Degree,3.0,20-40,1-5,
13607,1251,Male,Has relevent experience,Masters,Business Degree,3.0,20-40,1-5,
3683,12945,Male,Has relevent experience,Graduate,Business Degree,3.0,20-40,1-5,
8940,26639,Male,Has relevent experience,Graduate,Business Degree,3.0,<20,1-5,
6309,10563,Male,Has relevent experience,Graduate,Business Degree,3.0,<20,1-5,
4303,7975,Female,Has relevent experience,Masters,Business Degree,4.0,>80,1-5,
762,8852,Male,Has relevent experience,Graduate,Business Degree,4.0,>80,1-5,
14896,14481,Male,Has relevent experience,Masters,Business Degree,4.0,>80,1-5,
12273,14287,Male,Has relevent experience,Graduate,Business Degree,4.0,>80,1-5,
12967,13960,Male,Has relevent experience,Graduate,Business Degree,4.0,41-60,1-5,
16981,12525,Female,No relevent experience,Masters,Business Degree,4.0,41-60,1-5,
8221,7574,Female,Has relevent experience,Graduate,Business Degree,4.0,20-40,1-5,
1625,11577,Male,Has relevent experience,Graduate,Business Degree,4.0,20-40,1-5,
2339,8936,Female,Has relevent experience,Graduate,Business Degree,4.0,<20,1-5,
15380,29367,Female,Has relevent experience,Graduate,Business Degree,4.0,<20,1-5,
19026,30738,Male,Has relevent experience,Graduate,Business Degree,5.0,>80,6-10,
15140,33037,Male,Has relevent experience,Graduate,Business Degree,5.0,20-40,6-10,
13519,17513,Male,Has relevent experience,Graduate,Business Degree,5.0,20-40,6-10,
9639,28926,Male,No relevent experience,Graduate,Business Degree,5.0,<20,6-10,
7649,32494,Male,Has relevent experience,Graduate,Business Degree,6.0,>80,6-10,
12512,29639,Male,Has relevent experience,Graduate,Business Degree,6.0,>80,6-10,
14772,8315,Male,Has relevent experience,Graduate,Business Degree,6.0,>80,6-10,
10666,5155,Male,Has relevent experience,Graduate,Business Degree,6.0,20-40,6-10,
1917,2198,Male,Has relevent experience,Graduate,Business Degree,6.0,<20,6-10,
7576,23875,Male,Has relevent experience,Graduate,Business Degree,6.0,<20,6-10,
9670,3748,Male,Has relevent experience,Graduate,Business Degree,7.0,>80,6-10,
18481,18952,Male,No relevent experience,Graduate,Business Degree,7.0,>80,6-10,
12225,179,Female,Has relevent experience,Graduate,Business Degree,7.0,61-80,6-10,
16690,26284,Male,No relevent experience,Graduate,Business Degree,7.0,61-80,6-10,
13818,16322,Male,No relevent experience,Graduate,Business Degree,7.0,41-60,6-10,
11288,7661,Male,No relevent experience,Graduate,Business Degree,7.0,20-40,6-10,
2233,13433,Male,Has relevent experience,Masters,Business Degree,7.0,20-40,6-10,
2582,19572,Male,No relevent experience,Masters,Business Degree,7.0,20-40,6-10,
12004,23135,Male,Has relevent experience,Graduate,Business Degree,7.0,<20,6-10,
3021,14298,Male,Has relevent experience,Graduate,Business Degree,7.0,<20,6-10,
11846,3064,Male,Has relevent experience,Graduate,Business Degree,8.0,>80,6-10,
18794,14479,Male,Has relevent experience,Masters,Business Degree,8.0,61-80,6-10,
5009,33376,Female,Has relevent experience,Masters,Business Degree,8.0,61-80,6-10,
9637,24148,Male,Has relevent experience,Graduate,Business Degree,8.0,41-60,6-10,
2573,21492,Male,Has relevent experience,Graduate,Business Degree,9.0,>80,6-10,
4411,11372,Male,Has relevent experience,Graduate,Business Degree,9.0,<20,6-10,
119,14199,Male,Has relevent experience,Graduate,Business Degree,10.0,>80,11-20,
2714,10300,Male,No relevent experience,Masters,Business Degree,10.0,41-60,11-20,
8693,3937,Male,Has relevent experience,Graduate,Business Degree,10.0,41-60,11-20,
11228,2434,Male,No relevent experience,Masters,Business Degree,10.0,20-40,11-20,
1221,328,Male,No relevent experience,Graduate,Business Degree,10.0,20-40,11-20,
11830,3336,Male,Has relevent experience,Graduate,Business Degree,10.0,20-40,11-20,
11740,21371,Female,Has relevent experience,Masters,Business Degree,10.0,<20,11-20,
12794,15416,Male,No relevent experience,Masters,Business Degree,11.0,>80,11-20,
1730,29164,Male,Has relevent experience,Masters,Business Degree,11.0,61-80,11-20,
11354,7864,Male,Has relevent experience,Graduate,Business Degree,11.0,41-60,11-20,
14889,17521,Male,No relevent experience,Masters,Business Degree,11.0,<20,11-20,
34,26494,Male,Has relevent experience,Graduate,Business Degree,12.0,>80,11-20,
8171,21895,Male,Has relevent experience,Graduate,Business Degree,12.0,>80,11-20,
771,28433,Male,Has relevent experience,Graduate,Business Degree,12.0,>80,11-20,
10817,30444,Male,Has relevent experience,Graduate,Business Degree,12.0,<20,11-20,
10660,20055,Male,Has relevent experience,Graduate,Business Degree,12.0,<20,11-20,
7445,9122,Male,Has relevent experience,Graduate,Business Degree,13.0,41-60,11-20,
18618,32998,Male,No relevent experience,Graduate,Business Degree,14.0,>80,11-20,
19031,6374,Male,Has relevent experience,Graduate,Business Degree,14.0,>80,11-20,
17713,25849,Male,Has relevent experience,Graduate,Business Degree,14.0,20-40,11-20,
16014,11033,Male,Has relevent experience,Graduate,Business Degree,14.0,20-40,11-20,
13191,7916,Male,Has relevent experience,Graduate,Business Degree,15.0,>80,11-20,
14238,26265,Male,No relevent experience,Graduate,Business Degree,15.0,>80,11-20,
16485,927,Male,Has relevent experience,Graduate,Business Degree,15.0,61-80,11-20,
5856,30691,Male,Has relevent experience,Graduate,Business Degree,16.0,>80,11-20,
6707,27271,Male,Has relevent experience,Graduate,Business Degree,16.0,>80,11-20,
1210,3846,Male,Has relevent experience,Graduate,Business Degree,16.0,61-80,11-20,
13709,2465,Male,Has relevent experience,Masters,Business Degree,16.0,41-60,11-20,
18743,25836,Male,Has relevent experience,Masters,Business Degree,16.0,41-60,11-20,
10250,1875,Male,Has relevent experience,Masters,Business Degree,16.0,20-40,11-20,
14485,10032,Male,No relevent experience,Masters,Business Degree,16.0,20-40,11-20,
13798,847,Male,Has relevent experience,Graduate,Business Degree,16.0,20-40,11-20,
10915,19022,Male,Has relevent experience,Graduate,Business Degree,17.0,>80,11-20,
8877,26431,Male,Has relevent experience,Masters,Business Degree,17.0,>80,11-20,
3408,15758,Male,Has relevent experience,Graduate,Business Degree,17.0,>80,11-20,
11859,15884,Male,No relevent experience,Graduate,Business Degree,17.0,61-80,11-20,
11465,5651,Male,Has relevent experience,Graduate,Business Degree,17.0,41-60,11-20,
1724,10417,Male,Has relevent experience,Graduate,Business Degree,18.0,>80,11-20,
10881,2544,Other,No relevent experience,Graduate,Business Degree,18.0,41-60,11-20,
5885,12506,Male,No relevent experience,Masters,Business Degree,18.0,20-40,11-20,
6198,28134,Male,Has relevent experience,Graduate,Business Degree,18.0,20-40,11-20,
6443,9220,Male,No relevent experience,Graduate,Business Degree,19.0,>80,11-20,
14552,13399,Male,Has relevent experience,Masters,Business Degree,19.0,>80,11-20,
6749,25956,Male,Has relevent experience,Graduate,Business Degree,19.0,>80,11-20,
4993,20620,Male,Has relevent experience,Masters,Business Degree,19.0,61-80,11-20,
14720,12458,Male,Has relevent experience,Masters,Business Degree,19.0,61-80,11-20,
3893,25320,Male,No relevent experience,Graduate,Business Degree,19.0,<20,11-20,
10830,7627,Female,No relevent experience,Graduate,Business Degree,20.0,<20,>20,
17638,7640,Male,Has relevent experience,Graduate,Business Degree,21.0,>80,>20,
11343,23074,Female,Has relevent experience,Graduate,Business Degree,21.0,>80,>20,
8060,29751,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
10582,9432,Male,No relevent experience,Masters,Business Degree,21.0,>80,>20,
5098,9675,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
8826,20604,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
5340,1743,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
15073,27368,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
396,5340,Male,Has relevent experience,Graduate,Business Degree,21.0,>80,>20,
15355,31364,Male,Has relevent experience,Graduate,Business Degree,21.0,>80,>20,
6262,32213,Male,Has relevent experience,Masters,Business Degree,21.0,>80,>20,
14860,5079,Male,No relevent experience,Graduate,Business Degree,21.0,>80,>20,
1233,27462,Male,Has relevent experience,Graduate,Business Degree,21.0,>80,>20,
5516,22049,Male,Has relevent experience,Graduate,Business Degree,21.0,61-80,>20,
16352,16833,Male,Has relevent experience,Masters,Business Degree,21.0,61-80,>20,
4643,28241,Male,Has relevent experience,Graduate,Business Degree,21.0,61-80,>20,
15185,5727,Male,Has relevent experience,Graduate,Business Degree,21.0,61-80,>20,
18818,17516,Male,Has relevent experience,Graduate,Business Degree,21.0,61-80,>20,
3569,12679,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
15575,7629,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
12851,30446,Male,Has relevent experience,Masters,Business Degree,21.0,41-60,>20,
11985,9877,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
3599,29697,Male,No relevent experience,Graduate,Business Degree,21.0,41-60,>20,
12706,21886,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
16624,4219,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
17439,3927,Male,Has relevent experience,Masters,Business Degree,21.0,41-60,>20,
3858,27553,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
12939,7778,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
11080,19919,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
17896,20329,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
18110,30815,Male,Has relevent experience,Graduate,Business Degree,21.0,41-60,>20,
12530,3477,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
17561,6408,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
15036,27266,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
7758,27177,Male,Has relevent experience,Masters,Business Degree,21.0,20-40,>20,
18125,22307,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
14818,30253,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
9932,2237,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
6898,1573,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
7215,26262,Male,Has relevent experience,Graduate,Business Degree,21.0,20-40,>20,
18583,18277,Male,Has relevent experience,Masters,Business Degree,21.0,<20,>20,
9822,337,Male,No relevent experience,Masters,Business Degree,21.0,<20,>20,
8523,32751,Male,Has relevent experience,Graduate,Business Degree,21.0,<20,>20,
10117,12833,Male,Has relevent experience,Graduate,Business Degree,21.0,<20,>20,
10723,30782,Male,No relevent experience,Graduate,Business Degree,21.0,<20,>20,
18661,13018,Female,Has relevent experience,Graduate,Business Degree,21.0,<20,>20,
10146,31032,Male,Has relevent experience,Masters,Business Degree,21.0,<20,>20,
13062,28893,Male,Has relevent experience,Masters,Other,0.5,>80,<1,22.0
14662,22663,Male,Has relevent experience,Graduate,Other,0.5,>80,<1,22.0
16479,30002,Male,Has relevent experience,Masters,Other,0.5,>80,<1,22.0
3338,2834,Male,Has relevent experience,Graduate,Other,0.5,61-80,<1,17.0
23,7041,Male,Has relevent experience,Graduate,Other,0.5,61-80,<1,17.0
12843,5465,Female,No relevent experience,Graduate,Other,0.5,41-60,<1,40.5
2359,9512,Other,Has relevent experience,Graduate,Other,0.5,41-60,<1,12.0
9464,11050,Male,Has relevent experience,Graduate,Other,0.5,41-60,<1,12.0
17644,17723,Male,Has relevent experience,Graduate,Other,0.5,20-40,<1,7.0
16386,10883,Female,Has relevent experience,Graduate,Other,0.5,<20,<1,2.0
11808,28955,Male,No relevent experience,Graduate,Other,0.5,<20,<1,0.5
4449,20265,Male,No relevent experience,Masters,Other,0.5,<20,<1,0.5
14669,29899,Female,Has relevent experience,Graduate,Other,0.5,<20,<1,2.0
18558,18086,Male,Has relevent experience,Masters,Other,0.5,<20,<1,2.0
7697,31581,Male,Has relevent experience,Graduate,Other,1.0,>80,1-5,24.0
9674,23315,Female,No relevent experience,Graduate,Other,1.0,>80,1-5,81.0
6245,7604,Male,Has relevent experience,Graduate,Other,1.0,>80,1-5,24.0
11141,29786,Female,Has relevent experience,Masters,Other,1.0,61-80,1-5,19.0
18775,24185,Male,Has relevent experience,Masters,Other,1.0,61-80,1-5,19.0
14852,16983,Male,No relevent experience,Graduate,Other,1.0,41-60,1-5,41.0
13583,22078,Male,No relevent experience,Graduate,Other,1.0,20-40,1-5,21.0
1890,10992,Male,No relevent experience,Graduate,Other,1.0,20-40,1-5,21.0
2758,25805,Male,Has relevent experience,Graduate,Other,1.0,20-40,1-5,9.0
7924,11854,Male,No relevent experience,Graduate,Other,1.0,20-40,1-5,21.0
16822,18164,Female,Has relevent experience,Graduate,Other,1.0,<20,1-5,4.0
12342,28691,Female,Has relevent experience,Graduate,Other,1.0,<20,1-5,4.0
11398,7004,Male,Has relevent experience,Masters,Other,2.0,>80,1-5,24.0
747,25403,Male,Has relevent experience,Graduate,Other,2.0,>80,1-5,24.0
15365,17902,Female,Has relevent experience,Graduate,Other,2.0,>80,1-5,24.0
19023,21546,Male,No relevent experience,Graduate,Other,2.0,>80,1-5,81.0
206,32095,Male,Has relevent experience,Masters,Other,2.0,>80,1-5,24.0
17290,14065,Male,No relevent experience,Graduate,Other,2.0,>80,1-5,81.0
1520,26830,Male,Has relevent experience,Graduate,Other,2.0,>80,1-5,24.0
16662,15081,Male,Has relevent experience,Graduate,Other,2.0,61-80,1-5,19.0
4682,28162,Female,Has relevent experience,Graduate,Other,2.0,61-80,1-5,19.0
16902,13210,Female,No relevent experience,Masters,Other,2.0,61-80,1-5,61.0
12646,9626,Female,Has relevent experience,Graduate,Other,2.0,61-80,1-5,19.0
2948,31931,Female,Has relevent experience,Graduate,Other,2.0,41-60,1-5,14.0
17094,13137,Female,Has relevent experience,Masters,Other,2.0,41-60,1-5,14.0
14575,12444,Female,No relevent experience,Graduate,Other,2.0,41-60,1-5,41.0
2659,6171,Male,Has relevent experience,Masters,Other,2.0,41-60,1-5,14.0
17516,8269,Male,Has relevent experience,Graduate,Other,2.0,41-60,1-5,14.0
16083,16335,Male,Has relevent experience,Masters,Other,2.0,41-60,1-5,14.0
14856,20987,Male,Has relevent experience,Graduate,Other,2.0,20-40,1-5,9.0
466,11966,Male,Has relevent experience,Masters,Other,2.0,20-40,1-5,9.0
6336,19373,Male,Has relevent experience,Graduate,Other,2.0,20-40,1-5,9.0
15665,16421,Female,Has relevent experience,Masters,Other,2.0,20-40,1-5,9.0
8771,25379,Male,No relevent experience,Masters,Other,2.0,20-40,1-5,21.0
443,10984,Male,Has relevent experience,Masters,Other,2.0,20-40,1-5,9.0
2373,15613,Male,Has relevent experience,Graduate,Other,2.0,20-40,1-5,9.0
