,enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
175,3728,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0
177,23508,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22,0.0
178,29457,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0
183,5493,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0.0
184,2891,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0
194,706,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0
206,32095,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0
208,30098,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0
214,24936,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0
216,31602,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0.0
222,20881,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0
229,2821,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0.0
235,405,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,0.0
246,13083,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0.0
252,24082,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,8,1.0
262,17358,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Early Stage Startup,1,40,0.0
266,24152,0.923,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,never,30,0.0
293,6052,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,56,0.0
313,30484,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,31,0.0
314,14688,0.743,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,>4,97,0.0
319,31401,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,2,116,0.0
332,10752,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,42,1.0
337,9384,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,143,0.0
346,32652,0.802,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,4,124,0.0
354,2855,0.91,Male,No relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,never,31,0.0
362,2990,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,32,1.0
368,21564,0.624,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,2,46,1.0
376,15468,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,65,0.0
383,30676,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,53,0.0
394,10370,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,16,5000-9999,NGO,2,166,0.0
408,20743,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,23,1.0
409,25766,0.884,Male,No relevent experience,Full time course,Masters,STEM,14,100-500,Public Sector,3,96,0.0
427,18462,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,8,10/49,Pvt Ltd,1,11,0.0
430,29982,0.794,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,50-99,Pvt Ltd,1,182,0.0
438,29000,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,2,112,0.0
443,10984,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,10000+,NGO,1,28,0.0
445,32043,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,2,61,1.0
466,11966,0.836,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,100-500,Pvt Ltd,1,36,0.0
467,10017,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,67,0.0
480,28468,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,88,0.0
483,4978,0.926,Male,Has relevent experience,Part time course,Masters,STEM,14,10000+,Pvt Ltd,2,16,0.0
488,3999,0.795,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,>4,94,0.0
530,19612,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,15,1.0
534,14217,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,500-999,Pvt Ltd,1,52,0.0
539,9684,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,17,<10,Early Stage Startup,1,42,0.0
541,27003,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,2,74,0.0
544,33181,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,2,234,0.0
546,3004,0.924,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,<10,Pvt Ltd,1,163,0.0
567,32925,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,78,0.0
572,20143,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,1,30,0.0
580,3827,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,9,0.0
586,13597,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,1,107,0.0
588,29508,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,24,0.0
607,22052,0.762,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Public Sector,1,45,0.0
613,6389,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,15,1000-4999,Pvt Ltd,4,11,0.0
615,24586,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Early Stage Startup,1,91,0.0
622,26275,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,10000+,Pvt Ltd,4,168,1.0
624,20823,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,>4,37,0.0
633,11003,0.92,Male,Has relevent experience,Full time course,Masters,STEM,8,10/49,Funded Startup,1,38,0.0
638,33254,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,120,1.0
646,4475,0.698,Male,Has relevent experience,Full time course,Masters,STEM,>20,10000+,Public Sector,1,28,0.0
649,3878,0.92,Male,Has relevent experience,Full time course,Masters,STEM,6,10000+,Pvt Ltd,3,55,0.0
651,17304,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,96,0.0
662,440,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,0.0
663,27697,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,7,5000-9999,Public Sector,4,8,0.0
667,24708,0.55,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,NGO,2,37,1.0
674,10967,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Public Sector,1,106,1.0
679,8311,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,82,0.0
687,16625,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,<10,Early Stage Startup,1,78,1.0
689,21967,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,56,0.0
701,26214,0.878,Male,No relevent experience,Full time course,Masters,Humanities,9,100-500,Public Sector,2,56,0.0
702,21033,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,21,0.0
715,2485,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,4,0.0
756,4980,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,2,123,0.0
773,31489,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,never,4,0.0
783,18130,0.855,Female,No relevent experience,no_enrollment,Masters,Humanities,3,50-99,Pvt Ltd,2,9,0.0
788,18892,0.92,Male,Has relevent experience,Full time course,Masters,STEM,15,50-99,Pvt Ltd,2,166,0.0
790,32720,0.555,Female,Has relevent experience,Part time course,Masters,STEM,>20,10000+,NGO,3,135,1.0
791,4828,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,6,500-999,NGO,>4,138,1.0
795,24127,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,8,0.0
801,16466,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,13,10/49,Early Stage Startup,1,12,0.0
802,33358,0.843,Female,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,6,1.0
805,24091,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,>4,66,1.0
819,28820,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,32,1.0
827,1783,0.7759999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,1,56,0.0
828,14496,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,109,0.0
831,22997,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,9,0.0
843,22816,0.949,Male,No relevent experience,no_enrollment,Masters,Arts,>20,<10,Pvt Ltd,>4,136,0.0
859,365,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,16,0.0
868,7710,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,14,0.0
874,15250,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,4,5000-9999,Pvt Ltd,1,127,0.0
878,9180,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,7,1000-4999,Pvt Ltd,1,34,0.0
892,16787,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,>4,154,0.0
908,23295,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,1,216,0.0
915,18824,0.926,Male,No relevent experience,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,never,52,0.0
920,28453,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,18,0.0
922,23001,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1,166,0.0
923,16784,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,Pvt Ltd,1,32,0.0
940,13383,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,2,78,0.0
962,30205,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1,14,0.0
971,31769,0.893,Male,No relevent experience,no_enrollment,Masters,STEM,8,50-99,NGO,2,68,0.0
982,33128,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,163,0.0
983,20747,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,never,17,0.0
985,15160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,1,52,0.0
1000,23392,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,never,162,1.0
1006,2150,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,1,21,0.0
1016,13487,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Funded Startup,1,156,0.0
1023,17702,0.767,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,NGO,>4,24,1.0
1024,3144,0.92,Male,No relevent experience,no_enrollment,Masters,Other,>20,100-500,Public Sector,>4,34,0.0
1034,10933,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,75,0.0
1046,1709,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,1,14,0.0
1050,5710,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,13,5000-9999,Public Sector,2,88,0.0
1062,18670,0.856,Female,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Funded Startup,1,162,0.0
1065,13955,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,2,32,0.0
1069,4046,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,24,0.0
1081,13992,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,4,136,0.0
1088,21642,0.527,Male,Has relevent experience,Part time course,Masters,STEM,8,50-99,Pvt Ltd,>4,37,0.0
1098,5875,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Early Stage Startup,never,152,0.0
1110,15004,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,2,130,0.0
1113,674,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,>4,46,0.0
1114,32802,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,38,0.0
1121,14793,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,178,0.0
1132,7739,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,28,0.0
1139,14107,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,15,0.0
1152,26261,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,>4,7,1.0
1159,11673,0.855,Male,Has relevent experience,Part time course,Masters,STEM,1,10000+,Pvt Ltd,1,47,0.0
1169,2108,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,78,0.0
1172,32082,0.887,Female,No relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,218,0.0
1179,20065,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,>4,90,0.0
1203,15818,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,2,82,0.0
1225,12225,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,15,<10,Pvt Ltd,1,36,0.0
1227,9162,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Early Stage Startup,1,24,0.0
1249,6838,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10/49,Pvt Ltd,1,284,0.0
1252,31075,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,13,0.0
1274,10885,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,4,31,0.0
1283,2800,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Funded Startup,2,62,0.0
1294,12794,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,72,0.0
1303,21956,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,3,9,1.0
1306,11530,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,5,500-999,Pvt Ltd,1,11,0.0
1312,10923,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,20,10/49,Early Stage Startup,1,22,0.0
1314,16404,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,6,500-999,Pvt Ltd,3,32,0.0
1317,3029,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,2,78,0.0
1322,4487,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,84,0.0
1328,24671,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,20,100-500,NGO,4,35,0.0
1349,3436,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,12,0.0
1354,8906,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,2,11,0.0
1358,26762,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,17,500-999,Pvt Ltd,2,73,0.0
1367,18908,0.926,Male,No relevent experience,Full time course,Masters,STEM,10,1000-4999,Public Sector,2,37,0.0
1371,15178,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,10000+,Pvt Ltd,>4,80,0.0
1398,10186,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,3,54,0.0
1415,8221,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,4,24,0.0
1432,12785,0.8959999999999999,Male,No relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1,11,0.0
1467,29811,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,1,111,0.0
1468,22534,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,7,5000-9999,Pvt Ltd,2,62,0.0
1484,18726,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,>4,41,0.0
1487,31691,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,>4,32,0.0
1499,25301,0.897,Male,No relevent experience,Part time course,Masters,STEM,3,50-99,Public Sector,3,156,0.0
1503,6355,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,146,0.0
1506,28200,0.865,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Early Stage Startup,4,7,1.0
1509,24034,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,never,216,1.0
1514,16586,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,4,34,0.0
1525,8086,0.698,Male,No relevent experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,3,149,0.0
1529,25630,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Public Sector,2,16,0.0
1535,23197,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,3,69,0.0
1545,14943,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,36,1.0
1555,30569,0.763,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,2,50,0.0
1560,12477,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Pvt Ltd,>4,62,0.0
1564,2029,0.926,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,50-99,Funded Startup,2,4,0.0
1565,17030,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,3,0.0
1569,20341,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,1,47,0.0
1579,31964,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,<10,Funded Startup,1,57,0.0
1583,26687,0.926,Female,No relevent experience,no_enrollment,Masters,STEM,6,<10,Public Sector,>4,4,0.0
1591,10631,0.624,Male,No relevent experience,Full time course,Masters,Other,1,50-99,Pvt Ltd,never,20,1.0
1593,21608,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,13,500-999,Pvt Ltd,>4,5,0.0
1596,7451,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,33,1.0
1597,2384,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,9,500-999,Pvt Ltd,>4,108,0.0
1598,24511,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,NGO,1,72,0.0
1604,28860,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Funded Startup,1,90,0.0
1606,2975,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,20,10/49,Pvt Ltd,1,13,0.0
1615,30284,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,2,15,0.0
1650,29819,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Funded Startup,1,34,0.0
1660,15399,0.743,Female,Has relevent experience,no_enrollment,Masters,Other,9,100-500,Pvt Ltd,4,9,0.0
1667,30418,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,2,71,0.0
1671,9203,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,43,0.0
1679,13007,0.92,Male,No relevent experience,Part time course,Masters,STEM,3,100-500,Pvt Ltd,1,28,0.0
1680,10219,0.949,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,111,0.0
1685,28624,0.939,Female,Has relevent experience,no_enrollment,Masters,STEM,17,10/49,Pvt Ltd,1,14,0.0
1691,28517,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,12,10/49,Funded Startup,2,14,0.0
1692,2572,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,never,95,0.0
1694,24281,0.624,Male,Has relevent experience,Full time course,Masters,STEM,6,50-99,Pvt Ltd,2,103,0.0
1704,31612,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,2,14,0.0
1709,3162,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,4,48,0.0
1710,4880,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,50,0.0
1716,33056,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,12,1.0
1717,9264,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,4,17,0.0
1723,22662,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,107,0.0
1730,29164,0.92,Male,Has relevent experience,Part time course,Masters,Business Degree,11,10000+,Public Sector,3,60,0.0
1736,29504,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,55,0.0
1743,24567,0.91,Male,No relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,20,1.0
1744,14526,0.698,Male,Has relevent experience,Full time course,Masters,STEM,14,50-99,Pvt Ltd,2,6,0.0
1751,1331,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,7,500-999,Funded Startup,2,92,0.0
1780,3058,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,17,500-999,Pvt Ltd,1,41,0.0
1785,5789,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,24,1.0
1798,7723,0.698,Female,Has relevent experience,no_enrollment,Masters,STEM,16,10/49,Funded Startup,1,22,0.0
1800,8999,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Early Stage Startup,1,3,1.0
1802,16770,0.91,Female,No relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,1,59,1.0
1819,13265,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,3,98,0.0
1822,8661,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,3,0.0
1833,16644,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10/49,Pvt Ltd,2,92,0.0
1834,14396,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,13,0.0
1836,11557,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,never,34,0.0
1842,8776,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,NGO,1,21,0.0
1854,7542,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,58,0.0
1865,23481,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,43,1.0
1867,14572,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Public Sector,4,33,1.0
1880,19749,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Pvt Ltd,>4,176,0.0
1881,28748,0.926,Male,No relevent experience,Full time course,Masters,STEM,14,500-999,Public Sector,1,8,0.0
1892,6627,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,6,0.0
1897,25998,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,2,47,0.0
1916,3742,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Pvt Ltd,>4,47,0.0
